id,genres,vote_average,vote_count,name,developer,publisher
33,Action|Sci-fi|Adventure|Horror|FPS|Atmospheric|,4.0,3781,QUAKE,id Software,id Software
34,Simulation|,0.4,5022,Princess Maker 3: Fairy Tales Come True,CFK Co.| Ltd.,CFK Co.| Ltd.
35,Simulation|Casual|,1.2,2117,Healing Movement,Kevin Wacknov,Kevin Wacknov
36,Puzzle|Adventure|Colorful|Strategy|Casual|,4.4,678,Neighbours back From Hell,Farbworks,Farbworks
37,Strategy|Casual|,0.7,5527,Magnifico,Mixel,Mixel
38,2D|Adventure|Colorful|RPG|Fantasy|Casual|,4.1,2439,Melvor Idle,Malcs,Malcs
39,Simulation|Casual|Atmospheric|,0.7,5670,Accident: The Pilot,Duality Games|Glob Games Studio,Duality Games|Glob Games Studio
40,2D|Action|Adventure|Puzzle|Story Rich|Atmospheric|,1.7,8019,Valiant Hearts: The Great War / Soldats Inconnus : Mmoires de la Grande Guerre,Ubisoft Montpellier,Ubisoft Montpellier
41,Action|FPS|,0.2,4133,QUAKE II Mission Pack: The Reckoning,Xatrix Entertainment,Xatrix Entertainment
42,Adventure|Horror|Story Rich|,4.0,3443,Interactive Horror Stories,Aslan Game Studio,Aslan Game Studio
43,Simulation|RPG|Casual|,1.1,5118,,托更的修罗,托更的修罗
44,Action|Adventure|Arcade|,0.0,3654,Cubway,Armnomads LLC,Armnomads LLC
45,2D|Action|Adventure|RPG|Story Rich|Fantasy|,2.0,8882,The Vagrant,O.T.K Games,O.T.K Games
46,2D|Puzzle|Adventure|Story Rich|Fantasy|Casual|Atmospheric|,4.1,5550,Samorost 3,Amanita Design,Amanita Design
47,Action|Simulation|Colorful|FPS|,3.2,3068,After The War,piratecat games,piratecat games
48,Action|,2.9,4188,Zombie Estate 2,Sad Spaghetti Entertainment,Sad Spaghetti Entertainment
49,Adventure|Simulation|Horror|Strategy|Casual|,2.5,1116,Farm Frenzy 4,Alawar Entertainment,Alawar Entertainment
50,Strategy|Casual|,3.2,9278,Onirim - Solitaire Card Game,Asmodee Digital|Playsoft|Z-Man Games,Asmodee Digital|Playsoft|Z-Man Games
51,Action|Sci-fi|Adventure|RPG|Story Rich|Atmospheric|,0.5,6180,Everreach: Project Eden,Elder Games,Elder Games
52,Action|Strategy|,3.5,3830,ACE - Arena: Cyber Evolution,Spearhead Games,Spearhead Games
53,Action|2D|,3.1,2856,Soldat,Transhuman Design|Soldat Team,Transhuman Design|Soldat Team
54,2D|Simulation|Colorful|RPG|Strategy|,3.8,3621,Caravan Trade Tycoon,Ege Sayın,Ege Sayın
55,Action|FPS|Atmospheric|,2.9,4050,Anime Wave Simulator,SeedWall,SeedWall
56,Action|FPS|,3.3,7926,Freefall 3050AD,Total ArKade Software,Total ArKade Software
57,2D|Adventure|Puzzle|Atmospheric|,1.4,5335,Pid,Might and Delight,Might and Delight
58,2D|Adventure|Puzzle|Story Rich|Casual|Atmospheric|,0.8,9470,Nancy Drew: Secrets Can Kill REMASTERED,HeR Interactive,HeR Interactive
59,Action|FPS|,4.6,6948,QUAKE II Mission Pack: Ground Zero,Rogue Entertainment,Rogue Entertainment
60,Sci-fi|Simulation|Strategy|,3.5,3473,AI War 2,Arcen Games| LLC,Arcen Games| LLC
61,Adventure|Casual|,4.7,5527,Disney Winnie the Pooh,Disney Interactive,Disney Interactive
62,Action|2D|Puzzle|Simulation|RPG|Strategy|Casual|Atmospheric|,3.6,4606,Microcosmum: survival of cells,Satur Entertainment,Satur Entertainment
63,Action|Adventure|,3.2,7048,Knight Adventure,Syberstudio,Syberstudio
64,Action|Simulation|Colorful|Story Rich|,0.4,5600,Sakuna: Of Rice and Ruin,Edelweiss,Edelweiss
65,Action|Story Rich|Fantasy|,1.7,5008,UNDER NIGHT IN-BIRTH Exe:Late[cl-r],FRENCH-BREAD,FRENCH-BREAD
66,Adventure|Simulation|Strategy|Casual|Atmospheric|,4.1,5748,The Promised Land,Boolat Games|Alawar Entertainment,Boolat Games|Alawar Entertainment
67,Fantasy|Strategy|,1.3,8459,Warrior Kings,Black Cactus,Black Cactus
68,Action|Arcade|,0.7,6564,AWA,OMNIDREAM CREATIONS,OMNIDREAM CREATIONS
69,Action|Sci-fi|Adventure|RPG|,1.5,3539,CosmicBreak Universal,CyberStep| Inc.,CyberStep| Inc.
70,Adventure|RPG|,2.4,1597,Otaku's Fantasy 2,Dieselmine,Dieselmine
71,Adventure|Horror|Story Rich|Atmospheric|,2.3,808,The Town of Light,LKA,LKA
72,Adventure|Horror|RPG|,0.2,4277,Abbot's Book Demo,The Abbot's Book| LLC,The Abbot's Book| LLC
73,Adventure|Puzzle|Story Rich|Fantasy|,3.6,2440,Burn Me Twice,Null Reference Studio,Null Reference Studio
74,Action|Adventure|Simulation|Horror|Colorful|FPS|,4.9,9213,The Long Drive,Genesz,Genesz
75,Action|2D|Adventure|Puzzle|RPG|Casual|Arcade|,2.8,8912,Amber Tail Adventure,AmberTail,AmberTail
76,Action|Casual|,0.7,3195,Ultimate Spider Hero,For Kids,For Kids
77,Puzzle|Casual|,3.1,4697,Viki Spotter: Camping,For Kids,For Kids
78,Puzzle|Simulation|,2.6,9505,EXAPUNKS,Zachtronics,Zachtronics
79,Action|FPS|,0.2,3875,QUAKE III: Team Arena,id Software,id Software
80,Action|Colorful|Casual|,3.5,6911,Inside My Radio,Seaven Studio,Seaven Studio
81,Puzzle|Story Rich|RPG|,0.2,9016,Roman's Christmas / ,apoto5,apoto5
82,Action|Sci-fi|Puzzle|Simulation|FPS|Casual|,0.8,9596,Kumoon : Ballistic Physics Puzzle,Lucky You Studio,Lucky You Studio
83,2D|,0.5,8890,TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,东方幕华祭制作组,东方幕华祭制作组
84,Action|Adventure|,3.1,3446,Yet Another World,energy milk,energy milk
85,Strategy|Casual|,4.6,1770,Casino Blackjack,ThatGame Pty Ltd,ThatGame Pty Ltd
86,Strategy|Casual|,1.5,1697,Bad Hotel,Lucky Frame,Lucky Frame
87,Simulation|,3.1,7276,ShotForge,Alix,Alix
88,Action|Sci-fi|Strategy|Arcade|,2.8,6861,Anomaly: Warzone Earth,11 bit studios,11 bit studios
89,2D|Adventure|Puzzle|Story Rich|Casual|Atmospheric|,4.4,2167,Nancy Drew: Treasure in the Royal Tower,HeR Interactive,HeR Interactive
90,Action|Sci-fi|Adventure|Simulation|RPG|Strategy|,4.0,6528,Between the Stars,Isolated Games,Isolated Games
91,Adventure|Horror|,1.8,696,THE DEVIL HAUNTS ME,games by lum,games by lum
92,Action|Horror|Fantasy|Atmospheric|Arcade|,2.8,3570,Thumper,Drool,Drool
93,Casual|,1.9,9571,Memory Trainer,Educational Games,Educational Games
94,2D|Puzzle|Colorful|Casual|,4.9,2442,Perfect Fit - Totemland,Homiebear Studio,Homiebear Studio
95,Action|Puzzle|Fantasy|FPS|RPG|,3.8,9225,HeXen: Beyond Heretic,Raven Software,Raven Software
96,Action|Adventure|RPG|,4.1,8053,Vendetta - Curse of Raven's Cry,Reality Pump Studios,Reality Pump Studios
97,Sci-fi|Adventure|RPG|Story Rich|Fantasy|Strategy|Atmospheric|,1.5,8012,Torment: Tides of Numenera,inXile Entertainment,inXile Entertainment
98,Action|2D|Adventure|RPG|,0.0,6545,Astroflux,Fula Fisken,Fula Fisken
99,Simulation|Story Rich|Strategy|Atmospheric|,3.2,4680,PRO EVOLUTION SOCCER 2018,Konami Digital Entertainment Co.| Ltd.,Konami Digital Entertainment Co.| Ltd.
100,Adventure|Puzzle|Horror|Story Rich|Atmospheric|,4.6,521,Saint Kotar: The Yellow Mask,Red Martyr Entertainment,Red Martyr Entertainment
101,Action|Adventure|Puzzle|Fantasy|,1.6,3224,LEGO Harry Potter: Years 5-7,Traveller's Tales,Traveller's Tales
102,Sci-fi|2D|Puzzle|Adventure|Colorful|Fantasy|Casual|,4.4,4861,Leaper,kazakovstudios,kazakovstudios
103,Action|Adventure|,0.7,823,Ben 10,Torus Games,Torus Games
104,Adventure|RPG|Casual|,1.1,4725,Ostrich Island,MeDungeon Ltd.,MeDungeon Ltd.
105,2D|Colorful|Casual|,0.0,1463,Coloring Game: Little City,L. Stotch,L. Stotch
106,Sci-fi|Adventure|Puzzle|Story Rich|Atmospheric|,4.6,8674,Maize,Finish Line Games,Finish Line Games
107,Adventure|FPS|Casual|,2.1,6104,Lingering Fragrance,BLESTWORKS,BLESTWORKS
108,Action|Casual|,2.7,2151,Marble Combat,Phantom8 Studio,Phantom8 Studio
109,2D|Action|Colorful|RPG|Story Rich|Fantasy|Casual|,0.6,1972,Save Your Mother,Tuomo Laine,Tuomo Laine
110,Action|FPS|Fantasy|,1.9,9253,HeXen: Deathkings of the Dark Citadel,Raven Software,Raven Software
111,Action|RPG|Story Rich|Strategy|Atmospheric|,1.0,9911,Phantom Doctrine,CreativeForge Games,CreativeForge Games
112,Action|2D|Adventure|RPG|Strategy|Casual|,0.6,7725,Swords and Sandals Classic Collection,Whiskeybarrel Studios,Whiskeybarrel Studios
113,Action|Sci-fi|FPS|,3.1,1364,Descent 3,Outrage Entertainment,Outrage Entertainment
114,Sci-fi|Adventure|Story Rich|Atmospheric|,4.3,9546,STEINS;GATE 0,MAGES. Inc.,MAGES. Inc.
115,Action|Simulation|,0.8,7876,Titanic VR,Immersive VR Education Ltd,Immersive VR Education Ltd
116,Adventure|Horror|Simulation|Story Rich|Strategy|Atmospheric|,4.1,2980,Five Nights at Freddy's: Sister Location,Scott Cawthon,Scott Cawthon
117,2D|Strategy|,3.7,3632,Interloper,Monogon Games,Monogon Games
118,Adventure|Simulation|RPG|Strategy|,4.9,3585,Kicks Online,Kicks Online,Kicks Online
119,Sci-fi|2D|Action|Colorful|Arcade|,3.9,6038,Hyperspace Dogfights,Sleeper Games,Sleeper Games
120,2D|Adventure|Horror|Fantasy|Atmospheric|,2.0,3555,Swordbreaker The Game,DuCats Games Studio,DuCats Games Studio
121,2D|Adventure|RPG|Fantasy|Strategy|Casual|,2.1,5161,Knights of Pen and Paper +1 Edition,Behold Studios,Behold Studios
122,Action|Adventure|Horror|FPS|,1.0,3932,Morphine,Kerim Kumbasar,Kerim Kumbasar
123,Adventure|Casual|,0.9,3306,Island Dash,Flo Knödl|Johannes Fischer|Michael Hütter|Christoph Müller|Simon Eberl|Thomas Kern|Lukas Schönwiese,Flo Knödl|Johannes Fischer|Michael Hütter|Christoph Müller|Simon Eberl|Thomas Kern|Lukas Schönwiese
124,Casual|,0.9,1178,Mahjong World Contest (),Creobit,Creobit
125,Action|2D|RPG|,1.6,8201,Dungreed,TEAM HORAY,TEAM HORAY
126,RPG|Strategy|,2.6,1433,War of Tanks: Blitzkrieg,HQGames|HQ Games,HQGames|HQ Games
127,Simulation|Strategy|,3.6,983,M.U.D. TV,Realmforge Studios,Realmforge Studios
128,Simulation|Story Rich|Casual|Atmospheric|,3.1,4026,Amorous,Team Amorous,Team Amorous
129,Puzzle|Strategy|Casual|Atmospheric|,4.7,1570,KNIGHTS,Arzola's,Arzola's
130,Simulation|Strategy|Casual|,0.0,7912,Godus Wars,22cans,22cans
131,Action|FPS|,0.3,3574,The Royal Marines Commando,City Interactive S.A.,City Interactive S.A.
132,Action|Puzzle|Casual|,3.0,7023,Blast Zone! Tournament,Victory Lap Games,Victory Lap Games
133,Strategy|,4.6,8219,Journey of Greed,Dird Games,Dird Games
134,Action|2D|Simulation|,3.0,1924,JDM Tuner Racing,JDM4iK,JDM4iK
135,Simulation|Strategy|,3.7,9760,Chris Sawyer's Locomotion,Chris Sawyer,Chris Sawyer
136,Puzzle|Casual|,0.6,4761,Alice's Patchworks 2,Creobit,Creobit
137,Adventure|Puzzle|Casual|,0.5,917,Shadows: Price For Our Sins Bonus Edition,8th Floor Games,8th Floor Games
138,Strategy|,1.2,2968,Ways of History,Glyph Worlds,Glyph Worlds
139,Puzzle|Adventure|Horror|RPG|Atmospheric|,1.0,2975,The Black Watchmen,Alice & Smith,Alice & Smith
140,Sci-fi|Simulation|Story Rich|Strategy|,3.0,7805,Gemini Wars,Camel101 LLC,Camel101 LLC
141,Puzzle|Adventure|Horror|Casual|Atmospheric|,4.5,4736,A Place  Forbidden,A Team Forbidden,A Team Forbidden
142,Adventure|Puzzle|Horror|RPG|Story Rich|Casual|Atmospheric|,3.2,2322,My Friend is a Raven,Two Star Games,Two Star Games
143,Sci-fi|Story Rich|,3.5,6869,Obreno: Chapter One,Out Of Time Interactive,Out Of Time Interactive
144,Action|Simulation|Strategy|,4.7,3473,Cinemaware Anthology: 1986-1991,Cinemaware,Cinemaware
145,Action|Adventure|FPS|,2.1,3598,Z.I.O.N.,VGstudio,VGstudio
146,Action|Adventure|Casual|,0.9,5909,PANZER BALL,LODZERO,LODZERO
147,Action|2D|Adventure|RPG|Fantasy|Arcade|,4.3,5844,Die for Valhalla!,Monster Couch,Monster Couch
148,Action|Adventure|Fantasy|,4.5,6291,Rogue Reaper,Fireroot Studios,Fireroot Studios
149,2D|Adventure|Simulation|Colorful|Story Rich|Fantasy|Casual|,0.4,5758,Knights College,KAIJYU-09,KAIJYU-09
150,Action|2D|Casual|,3.2,1517,The last soldier,Artur Rezende,Artur Rezende
151,Action|2D|Casual|,3.1,7675,Project Starship,Panda Indie Studio,Panda Indie Studio
152,Adventure|RPG|,1.3,9199,The Legend of Tango,Spilt Milk Studios Ltd,Spilt Milk Studios Ltd
153,Action|Adventure|Horror|RPG|Story Rich|Atmospheric|,4.5,9172,Vampyr,DONTNOD Entertainment,DONTNOD Entertainment
154,Adventure|Horror|Story Rich|Atmospheric|,1.0,8407,Through the Woods,Antagonist,Antagonist
155,Adventure|Horror|,4.9,5518,Octave,Anate Studio,Anate Studio
156,2D|Action|Adventure|Puzzle|Fantasy|Story Rich|Atmospheric|,3.0,2230,Aquaria,Bit Blot| LLC,Bit Blot| LLC
157,Sci-fi|Puzzle|Strategy|,4.7,1057,Endhall,HeartBeast Studios L.L.C.,HeartBeast Studios L.L.C.
158,Action|2D|Story Rich|Atmospheric|,2.0,1623,The Textorcist: The Story of Ray Bibbia,MorbidWare,MorbidWare
159,Sci-fi|,4.6,4175,Bright Memory: Infinite Ray Tracing Benchmark,FYQD-Studio,FYQD-Studio
160,Adventure|Horror|Casual|,2.4,1338,Happy Maze,DoshMallow Games,DoshMallow Games
161,Action|,3.8,8111,Spaceball,Intergalactic Education LLC,Intergalactic Education LLC
162,2D|Puzzle|Adventure|Colorful|Story Rich|Atmospheric|,1.9,2852,Songbird Symphony,Joysteak Studios,Joysteak Studios
163,Simulation|,0.4,3434,Ultimate Coaster X,Phony Game Studios,Phony Game Studios
164,Sci-fi|2D|Adventure|Story Rich|Atmospheric|,3.3,5508,Nostalgici Anonimi,Hufu Interactive Storytelling,Hufu Interactive Storytelling
165,Action|Adventure|,1.0,3918,Death to Spies,Haggard Games,Haggard Games
166,Adventure|Horror|,4.5,6177,Joana's Life,Old Shack Studio,Old Shack Studio
167,Casual|Arcade|,3.0,7263,Terra Lander Remastered,DM Media,DM Media
168,Adventure|RPG|Strategy|Casual|,3.1,8212,,del,del
169,Action|Adventure|,2.6,5341,Saint Paul Pre-Alpha,Cleyton Jonnas da Silva,Cleyton Jonnas da Silva
170,2D|Adventure|Story Rich|Fantasy|Casual|Atmospheric|,0.5,7871,Burly Men at Sea,Brain&Brain,Brain&Brain
171,Action|Fantasy|Strategy|Casual|,1.6,7778,Rise of Legions,Broken Games,Broken Games
172,Action|Adventure|RPG|,0.2,6141, - Red Obsidian Remnant,Red Obsidian Studio,Red Obsidian Studio
173,Simulation|,4.9,2213,MotoGP15,Milestone S.r.l.,Milestone S.r.l.
174,Adventure|Colorful|Story Rich|,1.5,7102,Video World,Things For Humans,Things For Humans
175,Action|Puzzle|Colorful|Casual|Arcade|,1.8,7952,Katamari Damacy REROLL,MONKEYCRAFT Co. Ltd.,MONKEYCRAFT Co. Ltd.
176,Adventure|Strategy|Casual|,3.3,3791,crazy maze ~ ~  ~ Laberinto loco ~ Labyrinthe fou ~ Verrcktes Labyrinth,liuguowang,liuguowang
177,Action|Adventure|Horror|Casual|,1.1,4398,Francisca,Kiddy,Kiddy
178,Action|Sci-fi|Simulation|Story Rich|,1.6,4748,RaidersSphere4th,Rectangle,Rectangle
179,Simulation|Strategy|Casual|,4.4,1319,TasteMaker: Restaurant Simulator,Jelle Booij,Jelle Booij
180,2D|Simulation|Colorful|Strategy|Casual|Atmospheric|,4.6,9746,Townsmen - A Kingdom Rebuilt,HandyGames,HandyGames
181,Adventure|Puzzle|Colorful|Atmospheric|,0.1,3999,Rememoried,Vladimir Kudelka,Vladimir Kudelka
182,Simulation|Fantasy|Story Rich|Casual|,1.5,7586,Seduce Me the Otome,Michaela Laws,Michaela Laws
183,Action|2D|Casual|Arcade|,0.5,5473,room13,The Paper Robot,The Paper Robot
184,Simulation|,3.9,8980,Scrapyard  Simulator,Great Idea,Great Idea
185,Action|Adventure|Puzzle|Horror|Story Rich|Atmospheric|,0.4,1547,Mists of Aiden,Steppe Hare Studio,Steppe Hare Studio
186,Action|Simulation|RPG|Strategy|,3.7,8801,Navy Field 2 : Conqueror of the Ocean,SDEnterNet,SDEnterNet
187,RPG|Fantasy|Strategy|,1.2,1264,King Arthur - The Role-playing Wargame,NeocoreGames,NeocoreGames
188,2D|Adventure|Puzzle|Casual|,2.0,3738,Karma. Incarnation 1,AuraLab,AuraLab
189,Casual|Atmospheric|,0.7,4640,The Good Time Garden,Coal Supper,Coal Supper
190,Puzzle|Adventure|RPG|Strategy|Casual|,5.0,9249,Dungeon Girl,Inu to Neko,Inu to Neko
191,Adventure|Puzzle|Simulation|RPG|Fantasy|Strategy|,3.7,6165,Yes  Your Grace,Brave At Night,Brave At Night
192,Simulation|,1.2,1153,Birthdays the Beginning,Arc System Works|TOYBOX Inc.,Arc System Works|TOYBOX Inc.
193,Action|Adventure|Simulation|Casual|,0.1,6073,I am Bread,Bossa Studios,Bossa Studios
194,Simulation|RPG|Casual|Atmospheric|,0.9,8348,Apocalypse Hotel - The Post-Apocalyptic Hotel Simulator!,Michael Flynn,Michael Flynn
195,Action|2D|Sci-fi|Puzzle|Adventure|Fantasy|Strategy|Casual|Arcade|Atmospheric|,0.3,3714,Waveform,Eden Industries,Eden Industries
196,Action|Adventure|Simulation|,3.0,5310,P-Walker's Simulation,BrainStrainStudios,BrainStrainStudios
197,2D|Action|,2.3,3984,A Dance of Fire and Ice,7th Beat Games,7th Beat Games
198,Action|Adventure|FPS|Strategy|,0.9,3268,Cosmic Trip,Funktronic Labs,Funktronic Labs
199,Action|2D|Adventure|Puzzle|Horror|Story Rich|,2.7,1481,Silence in the Dark,Grytis,Grytis
200,Action|Horror|Casual|,1.6,4690,Trouble In The Manor,Charyb Games,Charyb Games
201,Adventure|Puzzle|Story Rich|Fantasy|Atmospheric|,4.6,780,Maskmaker,InnerspaceVR,InnerspaceVR
202,Action|Casual|,4.8,1823,Madballs in Babo:Invasion,Playbrains,Playbrains
203,Action|Casual|,3.9,4559,Super Space Pug,Digital Dawn Studios,Digital Dawn Studios
204,FPS|,2.5,3016,fpsVR,SBSoftLab,SBSoftLab
205,Sci-fi|Strategy|,1.4,9240,STAR WARS Rebellion,Coolhand Interactive,Coolhand Interactive
206,Adventure|Puzzle|Horror|Story Rich|Atmospheric|,0.2,643,The Cat Lady,Harvester Games,Harvester Games
207,Sci-fi|Simulation|Casual|,3.6,6857,Love Thyself - A Horatio Story,AMPLITUDE Studios,AMPLITUDE Studios
208,Action|2D|Adventure|Colorful|Story Rich|,0.2,4557,Sonic Forces,Sonic Team|Hardlight,Sonic Team|Hardlight
209,Horror|,0.3,5986,The Corridor: On Behalf Of The Dead,Desktop Daydreams Studios,Desktop Daydreams Studios
210,Action|2D|,4.9,1751,Holodrive,BitCake Studio,BitCake Studio
211,Action|Sci-fi|Horror|FPS|RPG|,2.3,5422,Dead Effect 2,BadFly Interactive| a.s.,BadFly Interactive| a.s.
212,Action|Simulation|Strategy|,3.8,1097,8-Bit Armies,Petroglyph,Petroglyph
213,Adventure|Puzzle|Horror|Story Rich|Atmospheric|,4.7,3366,Cube Escape Collection,Rusty Lake,Rusty Lake
214,Simulation|Casual|,0.5,7799,Ice Lakes,Iceflake Studios,Iceflake Studios
215,Action|Adventure|Horror|Atmospheric|,4.8,6674,Obscure,Hydravision Entertainment,Hydravision Entertainment
216,Action|Strategy|Casual|,3.5,7122,SlipSlop: World's Hardest Platformer Game,10F,10F
217,Adventure|RPG|,1.4,9776,Lost Memories 3 Side Stories,神族宝,神族宝
218,2D|Puzzle|Adventure|Horror|Story Rich|Casual|Atmospheric|,1.2,4005,PRICE,YETU GAME,YETU GAME
219,Adventure|Fantasy|Casual|Arcade|Atmospheric|,3.4,8283,Dream Golf VR,Isaac Stearns,Isaac Stearns
220,Action|FPS|,1.0,2311,Astra,DigiPen Europe-Bilbao,DigiPen Europe-Bilbao
221,2D|Action|,3.3,5084,The Witch & The 66 Mushrooms,Gotcha Gotcha Games|KADOKAWA,Gotcha Gotcha Games|KADOKAWA
222,Action|Strategy|Casual|,0.1,6697,Of Guards And Thieves,Subvert Games|Polygon Moon,Subvert Games|Polygon Moon
223,Sci-fi|Simulation|,4.4,8776,Imagine Earth,Serious Bros.,Serious Bros.
224,Simulation|,3.8,6649,Virtual Villagers Origins 2,Last Day Of Work,Last Day Of Work
225,Action|Adventure|Simulation|Casual|Arcade|,2.4,1147,Anarchy Arcade,Elijah Newman-Gomez,Elijah Newman-Gomez
226,Action|Adventure|Atmospheric|,2.2,8935,Arctico,Claudio Norori|Antonio Vargas,Claudio Norori|Antonio Vargas
227,Action|2D|RPG|,0.9,6879,Razenroth,Enitvare,Enitvare
228,Action|2D|Adventure|RPG|Fantasy|Arcade|,2.1,2250,Dungeons & Dragons: Chronicles of Mystara,Iron Galaxy Studios,Iron Galaxy Studios
229,,2.1,8696,Rytmik Player,CINEMAX| s.r.o.,CINEMAX| s.r.o.
230,Action|2D|Adventure|Fantasy|,2.9,4159,Treasure Adventure Game,Robit Games,Robit Games
231,Simulation|,4.7,1191,iRacing,iRacing.com Motorsport Simulations|iRacing,iRacing.com Motorsport Simulations|iRacing
232,,4.7,8452,Netsoccer,Giovanni Marin|Johannes Eski|Vinicius Marchesini|André Costa,Giovanni Marin|Johannes Eski|Vinicius Marchesini|André Costa
233,2D|Adventure|Puzzle|Colorful|Story Rich|Atmospheric|,4.5,4859,AntVentor,LoopyMood,LoopyMood
234,Action|Simulation|,0.8,550,Descenders,RageSquid,RageSquid
235,Action|Simulation|Strategy|,2.2,3849,Door Kickers 2: Task Force North,KillHouse Games,KillHouse Games
236,Action|Horror|FPS|,4.8,5458,Alpha Zylon,Team 6 Studios,Team 6 Studios
237,Action|,0.1,6747,Circuit Slinger,MioMax,MioMax
238,2D|Colorful|Casual|Arcade|,1.3,1607,Dairy Dave,mistertabasco,mistertabasco
239,Adventure|RPG|,0.1,5420,Phantom Thief Celianna,Acerola,Acerola
240,Sci-fi|2D|Adventure|Story Rich|Casual|,0.9,3087,Space Pilgrim Episode III: Delta Pavonis,Pilgrim Adventures|GrabTheGames Studios,Pilgrim Adventures|GrabTheGames Studios
241,Action|2D|Colorful|Casual|Arcade|,3.6,4933,Cheeky Beetle And The Unlikely Heroes,Rocksoft Ltd,Rocksoft Ltd
242,2D|Strategy|,3.3,3908,PixelJunk Monsters Ultimate,Double Eleven|Q-Games Ltd.,Double Eleven|Q-Games Ltd.
243,Sci-fi|RPG|Fantasy|Strategy|,3.2,4307,Shadowrun Chronicles - Boston Lockdown,Cliffhanger Productions,Cliffhanger Productions
244,Action|,3.6,1737,Hellish Quart,Kubold,Kubold
245,Action|Adventure|RPG|Atmospheric|,1.0,8549,Salt,Lavaboots Studios,Lavaboots Studios
246,Action|,3.1,7391,Action! - Gameplay Recording and Streaming,Mirillis,Mirillis
247,Action|Casual|Arcade|,1.6,944,Deep Space Waifu: FLAT JUSTICE,Neko Climax Studios,Neko Climax Studios
